name,x,y,width,height,is_fixed
o0,0.0,0.0,7.0,12.0,0
o1,0.0,0.0,17.0,12.0,0
o2,0.0,0.0,7.0,12.0,0
o3,0.0,0.0,7.0,12.0,0
o4,0.0,0.0,13.0,12.0,0
o5,0.0,0.0,13.0,12.0,0
o6,0.0,0.0,13.0,12.0,0
o7,0.0,0.0,13.0,12.0,0
o8,0.0,0.0,13.0,12.0,0
o9,0.0,0.0,13.0,12.0,0
o10,0.0,0.0,13.0,12.0,0
o11,0.0,0.0,13.0,12.0,0
o12,0.0,0.0,13.0,12.0,0
o13,0.0,0.0,13.0,12.0,0
o14,0.0,0.0,13.0,12.0,0
o15,0.0,0.0,13.0,12.0,0
o16,0.0,0.0,13.0,12.0,0
o17,0.0,0.0,13.0,12.0,0
o18,0.0,0.0,13.0,12.0,0
o19,0.0,0.0,13.0,12.0,0
o20,0.0,0.0,13.0,12.0,0
o21,0.0,0.0,13.0,12.0,0
o22,0.0,0.0,13.0,12.0,0
o23,0.0,0.0,13.0,12.0,0
o24,0.0,0.0,13.0,12.0,0
o25,0.0,0.0,13.0,12.0,0
o26,0.0,0.0,13.0,12.0,0
o27,0.0,0.0,13.0,12.0,0
o28,0.0,0.0,13.0,12.0,0
o29,0.0,0.0,13.0,12.0,0
o30,0.0,0.0,13.0,12.0,0
o31,0.0,0.0,13.0,12.0,0
o32,0.0,0.0,13.0,12.0,0
o33,0.0,0.0,13.0,12.0,0
o34,0.0,0.0,13.0,12.0,0
o35,0.0,0.0,13.0,12.0,0
o36,0.0,0.0,13.0,12.0,0
o37,0.0,0.0,13.0,12.0,0
o38,0.0,0.0,13.0,12.0,0
o39,0.0,0.0,13.0,12.0,0
o40,0.0,0.0,13.0,12.0,0
o41,0.0,0.0,13.0,12.0,0
o42,0.0,0.0,13.0,12.0,0
o43,0.0,0.0,13.0,12.0,0
o44,0.0,0.0,13.0,12.0,0
o45,0.0,0.0,13.0,12.0,0
o46,0.0,0.0,13.0,12.0,0
o47,0.0,0.0,13.0,12.0,0
o48,0.0,0.0,13.0,12.0,0
o49,0.0,0.0,13.0,12.0,0
o50,0.0,0.0,13.0,12.0,0
o51,0.0,0.0,13.0,12.0,0
o52,0.0,0.0,13.0,12.0,0
o53,0.0,0.0,13.0,12.0,0
o54,0.0,0.0,13.0,12.0,0
o55,0.0,0.0,13.0,12.0,0
o56,0.0,0.0,13.0,12.0,0
o57,0.0,0.0,13.0,12.0,0
o58,0.0,0.0,13.0,12.0,0
o59,0.0,0.0,13.0,12.0,0
o60,0.0,0.0,13.0,12.0,0
o61,0.0,0.0,13.0,12.0,0
o62,0.0,0.0,13.0,12.0,0
o63,0.0,0.0,13.0,12.0,0
o64,0.0,0.0,13.0,12.0,0
o65,0.0,0.0,13.0,12.0,0
o66,0.0,0.0,13.0,12.0,0
o67,0.0,0.0,13.0,12.0,0
o68,0.0,0.0,13.0,12.0,0
o69,0.0,0.0,13.0,12.0,0
o70,0.0,0.0,13.0,12.0,0
o71,0.0,0.0,13.0,12.0,0
o72,0.0,0.0,13.0,12.0,0
o73,0.0,0.0,13.0,12.0,0
o74,0.0,0.0,13.0,12.0,0
o75,0.0,0.0,13.0,12.0,0
o76,0.0,0.0,13.0,12.0,0
o77,0.0,0.0,13.0,12.0,0
o78,0.0,0.0,13.0,12.0,0
o79,0.0,0.0,13.0,12.0,0
o80,0.0,0.0,13.0,12.0,0
o81,0.0,0.0,13.0,12.0,0
o82,0.0,0.0,13.0,12.0,0
o83,0.0,0.0,13.0,12.0,0
o84,0.0,0.0,13.0,12.0,0
o85,0.0,0.0,13.0,12.0,0
o86,0.0,0.0,13.0,12.0,0
o87,0.0,0.0,13.0,12.0,0
o88,0.0,0.0,13.0,12.0,0
o89,0.0,0.0,13.0,12.0,0
