name,x,y,width,height,is_fixed
o0,0.0,0.0,7.0,12.0,0
o1,0.6755828654689382,16.600413194769786,17.0,12.0,0
o2,0.0,7.512982812637839,7.0,12.0,0
o3,0.0,0.0,7.0,12.0,0
o4,0.0,0.0,13.0,12.0,0
o5,0.0,0.0,13.0,12.0,0
o6,0.0,0.0,13.0,12.0,0
o7,0.0,17.134257581578815,13.0,12.0,0
o8,10.43351180296278,6.6029865310463665,13.0,12.0,0
o9,0.0,0.0,13.0,12.0,0
o10,0.0,0.0,13.0,12.0,0
o11,0.0,5.5635338023198395,13.0,12.0,0
o12,0.0,0.0,13.0,12.0,0
o13,0.0,0.0,13.0,12.0,0
o14,0.0,0.0,13.0,12.0,0
o15,0.0,0.0,13.0,12.0,0
o16,0.0,0.0,13.0,12.0,0
o17,0.0,0.0,13.0,12.0,0
o18,0.0,0.0,13.0,12.0,0
o19,0.0,0.0,13.0,12.0,0
o20,0.0,0.0,13.0,12.0,0
o21,0.0,0.0,13.0,12.0,0
o22,6.910396891528233,1.181948519686733,13.0,12.0,0
o23,17.005557861906627,6.070281041544653,13.0,12.0,0
o24,0.0,0.0,13.0,12.0,0
o25,0.0,0.0,13.0,12.0,0
o26,0.0,0.0,13.0,12.0,0
o27,0.0,0.0,13.0,12.0,0
o28,0.0,0.0,13.0,12.0,0
o29,24.154709536977762,0.0,13.0,12.0,0
o30,0.0,0.0,13.0,12.0,0
o31,0.0,0.0,13.0,12.0,0
o32,0.0,0.0,13.0,12.0,0
o33,0.0,15.833716688123046,13.0,12.0,0
o34,5.769491789309304,22.26558474139706,13.0,12.0,0
o35,0.0,0.0,13.0,12.0,0
o36,0.0,0.0,13.0,12.0,0
o37,0.0,0.0,13.0,12.0,0
o38,17.150649531033302,3.9233439589948245,13.0,12.0,0
o39,0.0,17.01347938233364,13.0,12.0,0
o40,0.0,0.0,13.0,12.0,0
o41,11.660394274852905,0.0,13.0,12.0,0
o42,0.0,0.0,13.0,12.0,0
o43,0.0,0.0,13.0,12.0,0
o44,0.0,0.0,13.0,12.0,0
o45,0.0,0.0,13.0,12.0,0
o46,0.0,10.971149029560747,13.0,12.0,0
o47,6.40495843016185,20.035297859478952,13.0,12.0,0
o48,18.752999433358003,0.0,13.0,12.0,0
o49,0.0,7.872858011284623,13.0,12.0,0
o50,0.0,0.0,13.0,12.0,0
o51,0.0,0.0,13.0,12.0,0
o52,0.0,0.0,13.0,12.0,0
o53,0.0,25.02153115342851,13.0,12.0,0
o54,0.0,0.0,13.0,12.0,0
o55,0.0,0.0,13.0,12.0,0
o56,0.0,0.0,13.0,12.0,0
o57,0.0,0.0,13.0,12.0,0
o58,13.184635890211348,0.0,13.0,12.0,0
o59,0.0,0.0,13.0,12.0,0
o60,0.0,0.0,13.0,12.0,0
o61,0.0,0.0,13.0,12.0,0
o62,21.475215292391994,20.760930796744688,13.0,12.0,0
o63,0.0,0.0,13.0,12.0,0
o64,2.624246197120871,12.237242670373108,13.0,12.0,0
o65,0.0,18.244518670846546,13.0,12.0,0
o66,0.0,0.0,13.0,12.0,0
o67,0.3391392648099615,21.159443178925258,13.0,12.0,0
o68,0.0,0.0,13.0,12.0,0
o69,0.0,0.0,13.0,12.0,0
o70,0.0,0.0,13.0,12.0,0
o71,0.0,0.0,13.0,12.0,0
o72,0.0,0.20839019597647715,13.0,12.0,0
o73,0.0,0.0,13.0,12.0,0
o74,0.0,21.471448454083546,13.0,12.0,0
o75,0.0,0.0,13.0,12.0,0
o76,0.0,0.0,13.0,12.0,0
o77,18.62131589306503,12.483745489206443,13.0,12.0,0
o78,0.0,0.0,13.0,12.0,0
o79,0.0,0.0,13.0,12.0,0
o80,0.0,0.0,13.0,12.0,0
o81,0.0,0.0,13.0,12.0,0
o82,0.0,0.0,13.0,12.0,0
o83,22.097029789810552,13.719411339209401,13.0,12.0,0
o84,0.0,0.0,13.0,12.0,0
o85,12.338261702207483,0.0,13.0,12.0,0
o86,0.0,0.0,13.0,12.0,0
o87,0.0,1.9350053541484569,13.0,12.0,0
o88,0.0,14.989450948954406,13.0,12.0,0
o89,0.0,0.0,13.0,12.0,0
o90,0.0,0.0,13.0,12.0,0
o91,0.0,0.0,13.0,12.0,0
o92,10.308574832939126,0.0,13.0,12.0,0
o93,0.0,0.0,13.0,12.0,0
o94,1.06409406893579,0.0,13.0,12.0,0
o95,0.0,0.0,13.0,12.0,0
o96,0.0,0.0,13.0,12.0,0
o97,0.0,0.0,13.0,12.0,0
o98,0.0,2.1860379899562647,13.0,12.0,0
o99,9.172444286186803,19.139147100428158,13.0,12.0,0
o100,0.0,0.0,13.0,12.0,0
o101,6.795435009442004,0.0,13.0,12.0,0
o102,0.0,0.0,13.0,12.0,0
o103,0.0,9.00878642551181,13.0,12.0,0
o104,0.0,0.0,13.0,12.0,0
o105,15.886877448017865,13.644050408845763,13.0,12.0,0
o106,0.0,0.0,13.0,12.0,0
o107,0.0,0.0,13.0,12.0,0
o108,0.0,0.0,13.0,12.0,0
o109,0.0,16.344739207471562,13.0,12.0,0
o110,4.866638264918554,5.615491718568516,13.0,12.0,0
o111,0.0,0.0,13.0,12.0,0
o112,0.0,19.146261056112074,13.0,12.0,0
o113,0.0,0.0,13.0,12.0,0
o114,14.015555614462858,0.0,13.0,12.0,0
o115,22.08830126619727,0.0,13.0,12.0,0
o116,9.688020805725387,5.688476501053672,13.0,12.0,0
o117,0.0,0.0,13.0,12.0,0
o118,6.226334266875772,3.299718100622456,13.0,12.0,0
o119,0.0,0.0,13.0,12.0,0
o120,0.0,24.088126632706707,13.0,12.0,0
o121,23.182207634796708,0.371592167781083,17.0,12.0,0
o122,11.108164335088189,20.007314646167345,17.0,12.0,0
o123,16.40229957656065,4.4136489948205435,17.0,12.0,0
o124,4.5991552656573225,22.649002346931997,16.0,12.0,0
o125,4.3022874174794055,15.661785330603422,10.0,12.0,0
o126,0.0,0.0,19.0,12.0,0
o127,0.0,0.0,10.0,12.0,0
o128,0.0,3.070962202497166,10.0,12.0,0
o129,8.603956976103294,0.0,19.0,12.0,0
o130,4.275305208821418,0.0,10.0,12.0,0
o131,0.0,14.323869056328423,10.0,12.0,0
o132,0.0,0.0,10.0,12.0,0
o133,18.752940635864583,0.0,10.0,12.0,0
o134,0.0,18.324428804211106,19.0,12.0,0
o135,0.0,0.0,13.0,12.0,0
o136,0.0,0.0,13.0,12.0,0
o137,9.513902321169045,0.0,13.0,12.0,0
o138,0.0,0.0,19.0,12.0,0
o139,16.216081200380316,14.21231971206889,19.0,12.0,0
o140,0.0,0.0,13.0,12.0,0
o141,0.0,0.0,10.0,12.0,0
o142,0.0,0.0,19.0,12.0,0
o143,0.0,0.0,13.0,12.0,0
o144,0.0,0.0,19.0,12.0,0
o145,0.0,0.0,19.0,12.0,0
o146,0.0,0.0,10.0,12.0,0
o147,0.0,0.0,19.0,12.0,0
o148,20.97685924770198,0.0,19.0,12.0,0
o149,4.976703207235667,0.0,10.0,12.0,0
o150,10.487369619463156,0.0,10.0,12.0,0
o151,0.2688917791001042,14.848348385732159,19.0,12.0,0
o152,0.0,17.900066781403737,19.0,12.0,0
o153,7.254899877516245,5.5071637103823585,10.0,12.0,0
o154,0.0,13.95727718324088,10.0,12.0,0
o155,0.0,0.0,19.0,12.0,0
o156,0.0,0.0,13.0,12.0,0
o157,0.0,0.0,13.0,12.0,0
o158,7.769516504981215,6.559033839297253,19.0,12.0,0
o159,21.461541047063125,0.0,10.0,12.0,0
o160,24.364616808792256,0.0,19.0,12.0,0
o161,8.937103002854505,0.0,19.0,12.0,0
o162,16.065438346902226,4.447296727057462,10.0,12.0,0
o163,0.0,0.0,19.0,12.0,0
o164,0.0,19.684029121755387,10.0,12.0,0
o165,0.0,0.0,10.0,12.0,0
o166,21.47857931796119,0.0,10.0,12.0,0
o167,0.0,0.0,19.0,12.0,0
o168,0.0,0.0,10.0,12.0,0
o169,0.0,13.434499556216252,13.0,12.0,0
o170,0.0,18.402345172525806,19.0,12.0,0
o171,0.0,12.40442383381929,10.0,12.0,0
o172,0.0,0.0,19.0,12.0,0
o173,0.0,0.0,13.0,12.0,0
o174,0.0,0.0,19.0,12.0,0
o175,0.0,0.0,10.0,12.0,0
o176,0.0,0.0,19.0,12.0,0
o177,0.0,0.0,10.0,12.0,0
o178,15.472068581048275,0.0,19.0,12.0,0
o179,16.4279807921736,0.0,19.0,12.0,0
o180,2.139520053865774,5.425120368187159,10.0,12.0,0
o181,0.0,2.9455964456955974,44.0,12.0,0
o182,0.0,0.0,10.0,12.0,0
o183,0.0,4.274794593751241,19.0,12.0,0
o184,0.0,0.0,10.0,12.0,0
o185,0.0,0.0,10.0,12.0,0
o186,0.0,0.0,19.0,12.0,0
o187,0.0,0.0,10.0,12.0,0
o188,0.0,0.0,10.0,12.0,0
o189,0.0,0.0,19.0,12.0,0
o190,0.0,0.0,13.0,12.0,0
o191,0.0,0.0,19.0,12.0,0
o192,0.0,0.0,19.0,12.0,0
o193,9.136749409470394,2.8523134522526403,10.0,12.0,0
o194,0.0,0.0,19.0,12.0,0
o195,0.0,0.0,10.0,12.0,0
o196,0.0,0.0,13.0,12.0,0
o197,14.709008955328759,13.542717134656755,10.0,12.0,0
o198,7.906014906099767,0.0,10.0,12.0,0
o199,0.0,11.652019438948203,10.0,12.0,0
o200,0.0,0.0,10.0,12.0,0
o201,11.481376351065823,1.474916894113866,10.0,12.0,0
o202,0.0,0.0,10.0,12.0,0
o203,0.0,0.0,10.0,12.0,0
o204,0.0,0.0,10.0,12.0,0
o205,0.0,0.0,10.0,12.0,0
o206,0.0,14.67451717405886,10.0,12.0,0
o207,19.83676946315325,0.0,10.0,12.0,0
o208,0.0,14.23629650325432,10.0,12.0,0
o209,0.0,0.0,10.0,12.0,0
o210,0.0,0.0,10.0,12.0,0
o211,0.0,0.0,10.0,12.0,0
o212,0.0,0.0,10.0,12.0,0
o213,0.0,0.0,10.0,12.0,0
o214,25.473540927063762,20.227640737668747,10.0,12.0,0
o215,0.0,0.0,10.0,12.0,0
o216,2.9458589754636515,0.0,10.0,12.0,0
o217,0.0,0.0,10.0,12.0,0
o218,0.0,0.0,10.0,12.0,0
o219,24.20204132942538,0.0,10.0,12.0,0
o220,0.0,0.0,10.0,12.0,0
o221,0.0,0.0,10.0,12.0,0
o222,0.0,0.0,10.0,12.0,0
o223,0.0,9.51895759387663,10.0,12.0,0
o224,0.0,0.0,10.0,12.0,0
o225,0.0,21.144439610781355,10.0,12.0,0
o226,0.0,19.0920229161141,10.0,12.0,0
o227,23.016844383422985,0.0,10.0,12.0,0
o228,0.0,0.0,10.0,12.0,0
o229,0.0,0.0,10.0,12.0,0
o230,0.0,0.0,10.0,12.0,0
o231,0.0,0.0,10.0,12.0,0
o232,12.722273123647966,1.6326260447975054,10.0,12.0,0
o233,4.73276348158926,13.074622219390456,10.0,12.0,0
o234,0.0,0.0,10.0,12.0,0
o235,0.0,0.0,10.0,12.0,0
o236,0.0,24.10332731961553,10.0,12.0,0
o237,0.0,24.691137575841452,10.0,12.0,0
o238,0.0,0.0,10.0,12.0,0
o239,0.0,0.0,10.0,12.0,0
o240,13.072648881882596,21.979040369077428,10.0,12.0,0
o241,0.0,0.0,10.0,12.0,0
o242,9.012409705696344,0.0,10.0,12.0,0
o243,0.0,7.275251691224323,10.0,12.0,0
o244,0.0,0.0,10.0,12.0,0
o245,0.0,0.0,23.0,12.0,0
o246,0.0,0.0,10.0,12.0,0
o247,0.0,0.0,10.0,12.0,0
o248,0.0,0.0,10.0,12.0,0
o249,0.0,0.0,10.0,12.0,0
o250,0.0,0.0,10.0,12.0,0
o251,0.0,0.0,10.0,12.0,0
o252,14.507647420874415,16.973877895639937,10.0,12.0,0
o253,17.77596540777916,10.70117753136548,10.0,12.0,0
o254,0.0,13.364531057143294,10.0,12.0,0
o255,0.0,0.0,10.0,12.0,0
o256,0.0,0.0,10.0,12.0,0
o257,0.0,0.0,10.0,12.0,0
o258,0.0,0.0,10.0,12.0,0
o259,0.0,0.0,10.0,12.0,0
o260,0.0,0.0,10.0,12.0,0
o261,17.609930505689974,0.0,10.0,12.0,0
o262,0.0,0.0,10.0,12.0,0
o263,0.8555381293635503,17.951223890583936,10.0,12.0,0
o264,0.0,0.0,10.0,12.0,0
o265,0.0,0.0,10.0,12.0,0
o266,0.0,0.0,10.0,12.0,0
o267,0.0,0.0,10.0,12.0,0
o268,0.0,0.0,10.0,12.0,0
o269,19.74771852744841,0.1821960499617942,10.0,12.0,0
o270,0.0,1.9233271787641582,10.0,12.0,0
o271,0.0,0.0,10.0,12.0,0
o272,0.0,0.0,10.0,12.0,0
o273,0.0,0.0,10.0,12.0,0
o274,21.161133574561465,20.73702995375197,10.0,12.0,0
o275,21.08597009589254,0.7702232705376719,10.0,12.0,0
o276,0.0,0.2305576074485821,10.0,12.0,0
o277,0.0,0.0,10.0,12.0,0
o278,0.0,0.0,10.0,12.0,0
o279,11.382806281869987,0.0,10.0,12.0,0
o280,0.0,0.0,10.0,12.0,0
o281,25.018022499239333,2.761473478521674,10.0,12.0,0
o282,0.0,0.0,10.0,12.0,0
o283,0.0,0.0,10.0,12.0,0
o284,0.0,0.0,10.0,12.0,0
o285,5.174516988212284,20.58682512186555,10.0,12.0,0
o286,0.0,0.0,10.0,12.0,0
o287,0.0,0.0,10.0,12.0,0
o288,11.74801369332241,0.0,10.0,12.0,0
o289,0.0,0.0,10.0,12.0,0
o290,0.06837318250396675,0.0,10.0,12.0,0
o291,0.0,2.8816562726660626,10.0,12.0,0
o292,0.0,0.0,10.0,12.0,0
o293,13.518660361562892,0.0,10.0,12.0,0
