name,x,y,width,height,is_fixed
p108,6394.267984578837,250.10755222666936,1.0,1.0,0
p185,2750.2931836911926,2232.1073814882275,1.0,1.0,0
p227,7364.712141640124,6766.994874229113,1.0,1.0,0
Platform,8912.12920351186,865.9737457882619,1.0,1.0,0
p325,4219.218196852704,297.97219438070346,1.0,1.0,0
p133,2180.4692601345487,5052.767677929249,1.0,1.0,0
p208,258.6979061394293,1980.4366931476227,1.0,1.0,0
p195,9028.620924546482,6152.997977267365,1.0,1.0,0
sb41,2204.406220406967,5892.656838759087,1.0,1.0,0
p304,7947.733492746347,4453.16730564535,1.0,1.0,0
sb31,8054.623676342416,6977.246269124646,1.0,1.0,0
sb84,3411.1876924654325,1562.502617600983,1.0,1.0,0
p124,9572.130722067812,3365.9454511262675,1.0,1.0,0
p101,913.2715022667909,973.9739354853178,1.0,1.0,0
p223,8474.943663474598,6037.26031366891,1.0,1.0,0
p311,8061.305173042129,7310.893139516786,1.0,1.0,0
sb30,5362.280914547007,9731.157639793706,1.0,1.0,0
p161,3789.3892005444313,5491.273544259736,1.0,1.0,0
p71,8294.04664252995,6185.1975236424605,1.0,1.0,0
p159,8631.790418053948,5783.101151774534,1.0,1.0,0
sb68,7045.718362149235,458.24383655662217,1.0,1.0,0
p163,2278.9827565154687,2893.8796360210717,1.0,1.0,0
p201,811.0719717178862,2334.5138941988002,1.0,1.0,0
sb62,1016.6762795430745,2787.022941377123,1.0,1.0,0
sb1,6366.085363773189,3661.9385337128056,1.0,1.0,0
sb79,5210.51474537161,5339.862772029677,1.0,1.0,0
p202,2673.230526291658,9366.447243024362,1.0,1.0,0
sb61,6480.353852465935,6091.310056669882,1.0,1.0,0
p149,1715.6197763553546,7301.764614855312,1.0,1.0,0
p134,1631.9749372989727,3790.1671691692973,1.0,1.0,0
p145,9895.233506365952,6399.997598540928,1.0,1.0,0
p257,5569.497437746462,6846.142509898746,1.0,1.0,0
p275,8428.519201898096,7759.999115462449,1.0,1.0,0
sb70,26.75722602885733,4505.0370461770235,1.0,1.0,0
p23,3154.530480590819,2677.4087597570274,1.0,1.0,0
p188,2089.950117808515,9427.771323478928,1.0,1.0,0
p21,8763.676264726688,3146.778807984779,1.0,1.0,0
p266,6554.3866529488005,3956.3190106066427,1.0,1.0,0
p20,9130.632944493114,4578.355612895786,1.0,1.0,0
p331,2648.8016649805245,2466.2750769398344,1.0,1.0,0
p324,5609.784535736116,2640.3195031175965,1.0,1.0,0
p296,5839.557675871704,8996.625382584847,1.0,1.0,0
p254,3987.553569373738,2196.860768606864,1.0,1.0,0
sb51,9969.521313029958,5086.534211284804,1.0,1.0,0
sb38,7293.242526818113,3133.348076592986,1.0,1.0,0
p177,1086.2388328515824,6258.592258241738,1.0,1.0,0
p158,7920.793643629641,4221.59966799684,1.0,1.0,0
sb50,638.6365038269286,3806.3935109906647,1.0,1.0,0
p80,9961.213802400967,5291.143450991371,1.0,1.0,0
p60,9720.38023246511,8605.856709127162,1.0,1.0,0
sb11,2459.0216079937554,6359.697896791213,1.0,1.0,0
sb71,6829.701296129583,5373.451430449636,1.0,1.0,0
p113,2668.2518995254277,6409.617985798081,1.0,1.0,0
p291,1115.5217359587643,4347.65250669105,1.0,1.0,0
sb52,4543.0240285291,9531.59401771952,1.0,1.0,0
p250,8758.056697159735,2648.012228962223,1.0,1.0,0
p241,5005.8611305029835,1786.5188053013137,1.0,1.0,0
p221,9126.278393448205,8705.18569836767,1.0,1.0,0
sb39,2971.8026783877435,6372.222007424229,1.0,1.0,0
p256,6089.702114381723,1528.3926854963481,1.0,1.0,0
p315,7625.108000751513,5393.790301196257,1.0,1.0,0
p181,7778.206791861518,5310.2213073426465,1.0,1.0,0
p238,0.0,3230.0947224541787,1.0,1.0,0
p154,194.767423858323,9290.986162646172,1.0,1.0,0
p5,8787.218778231841,8316.655293611795,1.0,1.0,0
p314,3085.2474816087947,580.4716207661486,1.0,1.0,0
sb60,8780.095992040406,9469.494452979941,1.0,1.0,0
p160,856.5345206787878,4859.9046331661375,1.0,1.0,0
sb86,692.1251846838361,7606.021652572315,1.0,1.0,0
sb4,7658.3442930698775,1283.9146449976279,1.0,1.0,0
p148,4766.621829374159,5492.734305746377,1.0,1.0,0
sb82,2650.566289400591,8724.330410852574,1.0,1.0,0
p214,4242.162692464827,2134.2549531788018,1.0,1.0,0
p45,5392.960887794583,7299.3106908997615,1.0,1.0,0
sb10,2010.3156827791913,3120.307907172809,1.0,1.0,0
p41,9951.493566608946,6498.780576394535,1.0,1.0,0
sb90,4381.00083914504,5175.758410355907,1.0,1.0,0
sb5,9766.070228830567,5246.368691086079,1.0,1.0,0
p95,3380.855621474553,5883.087184572333,1.0,1.0,0
sb85,2301.14732596577,2202.1738445155947,1.0,1.0,0
p215,726.3842971554701,6323.913935270588,1.0,1.0,0
p73,2289.417838111544,9054.20013006128,1.0,1.0,0
sb58,8611.573041009251,733.1663240548505,1.0,1.0,0
p110,2380.046343689952,6689.777782962806,1.0,1.0,0
p142,2126.8477680544192,1321.3966372174868,1.0,1.0,0
p206,9356.034206753277,5711.522797557523,1.0,1.0,0
sb22,4726.710263117941,7846.194242907533,1.0,1.0,0
p212,8088.658263860636,1905.2383885477047,1.0,1.0,0
p236,951.9270151723821,4317.325229109497,1.0,1.0,0
p317,4235.786230199208,4670.246680366749,1.0,1.0,0
sb76,3854.872976494252,5775.5026968947595,1.0,1.0,0
p307,9841.652113659662,984.1787115195888,1.0,1.0,0
p128,4027.345447443413,3399.108339937658,1.0,1.0,0
p50,8620.955101319709,2494.7847560136242,1.0,1.0,0
p106,1902.089084408115,4486.135478331319,1.0,1.0,0
sb28,4218.816398344042,2785.4514466694045,1.0,1.0,0
sb40,2498.0644788210047,9232.655992760128,1.0,1.0,0
2,4431.307450534569,8613.491047618305,1.0,1.0,0
p141,5502.437629203681,502.5176027581581,1.0,1.0,0
p164,9977.04039272463,8375.404771586942,1.0,1.0,0
p333,9685.578210022446,9256.194884077766,1.0,1.0,0
sb27,8493.00494959944,1670.4380072574127,1.0,1.0,0
sb49,4851.584213687009,2135.2336440647123,1.0,1.0,0
sb67,4010.4029254945262,586.3539997217893,1.0,1.0,0
p83,3479.6105629465046,3333.0839366509204,1.0,1.0,0
p302,2669.7020279816898,7854.294356907587,1.0,1.0,0
2000,4553.250580655794,4232.727429922517,1.0,1.0,0
p111,9573.176408596732,9954.226894927138,1.0,1.0,0
p138,5557.683234056182,7184.08275296326,1.0,1.0,0
