name,x,y,width,height,is_fixed
p245,6394.267984578837,250.10755222666936,1.0,1.0,0
p294,2750.2931836911926,2232.1073814882275,1.0,1.0,0
p326,2509.63101453412,2591.862577759581,1.0,1.0,0
p36,8921.795677048454,869.3883262941615,1.0,1.0,0
p79,4219.218196852704,297.97219438070346,1.0,1.0,0
p148,1055.3887064399858,9607.875672145787,1.0,1.0,0
p23,265.35969683863624,1988.376506866485,1.0,1.0,0
p233,6498.8443777952325,5449.414806032167,1.0,1.0,0
sb62,2184.7065042176664,5906.227613470626,1.0,1.0,0
p17,8094.304566778266,64.98759678061018,1.0,1.0,0
sb54,7166.033259917911,5088.720150695118,1.0,1.0,0
p137,3402.5051651799185,1554.7949981178156,1.0,1.0,0
p71,9572.130722067812,3365.9454511262675,1.0,1.0,0
p256,927.458433801479,967.1637683346402,1.0,1.0,0
sb68,8474.943663474598,6037.26031366891,1.0,1.0,0
p86,4809.023339333522,2167.63392267745,1.0,1.0,0
p87,5362.280914547007,9731.157639793706,1.0,1.0,0
p164,3785.343772083535,5520.40631273227,1.0,1.0,0
p309,8294.04664252995,6185.1975236424605,1.0,1.0,0
3,8617.069003107772,5773.52145256762,1.0,1.0,0
p84,7045.718362149235,458.24383655662217,1.0,1.0,0
p250,2364.7592179068115,2957.5425481335983,1.0,1.0,0
p218,797.919769236275,2327.908863610302,1.0,1.0,0
p288,1006.3580870372202,2831.165050208681,1.0,1.0,0
sb85,6356.844442644002,3648.3217897008426,1.0,1.0,0
p81,3684.198617732131,2090.4493697963985,1.0,1.0,0
sb74,2669.7782204911337,9366.54587712494,1.0,1.0,0
p304,8579.628318912182,7632.6461400558455,1.0,1.0,0
p307,1711.3864819809698,7291.267979503492,1.0,1.0,0
sb22,1634.024937619284,3794.554417576478,1.0,1.0,0
p177,9885.790219369415,6412.217575512765,1.0,1.0,0
p42,5441.573691549251,6870.459286723729,1.0,1.0,0
p18,8428.519201898096,7759.999115462449,1.0,1.0,0
p78,2290.480719641044,321.0024390403776,1.0,1.0,0
p90,3154.530480590819,2677.4087597570274,1.0,1.0,0
p156,2158.3513623757026,9355.765172099886,1.0,1.0,0
p192,3223.2158335829995,2503.6790241200392,1.0,1.0,0
p224,6641.649656314022,3983.5514417277072,1.0,1.0,0
p298,9174.362027561368,4566.048097366442,1.0,1.0,0
p246,2648.8016649805245,2466.2750769398344,1.0,1.0,0
sb32,5613.681341631508,2627.4160852293526,1.0,1.0,0
p40,3346.551931481701,9263.736463374877,1.0,1.0,0
p195,3994.0050514039726,2193.2075915728333,1.0,1.0,0
sb45,5381.729064482558,4834.975038831961,1.0,1.0,0
1873,905.3063130809044,490.44820142859123,1.0,1.0,0
sb61,1096.4913035065915,6274.4604170309,1.0,1.0,0
p28,7920.793643629641,4221.59966799684,1.0,1.0,0
NumNets,1455.6979569939842,5311.6631814876,1.0,1.0,0
p131,9936.617208137728,5263.881118318811,1.0,1.0,0
p329,9710.78377613618,8607.797022344981,1.0,1.0,0
p198,114.81021942819636,7207.218193601946,1.0,1.0,0
p317,6817.103690265748,5369.703304087951,1.0,1.0,0
p175,2668.2518995254277,6409.617985798081,1.0,1.0,0
p73,692.1251846838361,7606.021652572315,1.0,1.0,0
p227,4455.496999070277,9486.384066488705,1.0,1.0,0
p146,8758.52940378194,2633.890507510908,1.0,1.0,0
p259,4840.568525898382,1874.2559545467354,1.0,1.0,0
p152,9126.278393448205,8705.18569836767,1.0,1.0,0
p161,2953.800532370509,6372.27135090826,1.0,1.0,0
p11,6089.702114381723,1528.3926854963481,1.0,1.0,0
