name,x,y,width,height,is_fixed
p245,6394.267984578837,250.10755222666936,1.0,1.0,0
p294,2750.2931836911926,2232.1073814882275,1.0,1.0,0
p326,7364.712141640124,6766.994874229113,1.0,1.0,0
p36,8921.795677048454,869.3883262941615,1.0,1.0,0
p79,4219.218196852704,297.97219438070346,1.0,1.0,0
p148,2186.3797480360336,5053.552881033624,1.0,1.0,0
p23,265.35969683863624,1988.376506866485,1.0,1.0,0
p233,6498.8443777952325,5449.414806032167,1.0,1.0,0
sb62,2204.406220406967,5892.656838759087,1.0,1.0,0
p17,8094.304566778266,64.98759678061018,1.0,1.0,0
sb54,8058.192518328079,6981.393949882268,1.0,1.0,0
p137,3402.5051651799185,1554.7949981178156,1.0,1.0,0
p71,9572.130722067812,3365.9454511262675,1.0,1.0,0
p256,927.458433801479,967.1637683346402,1.0,1.0,0
sb68,8474.943663474598,6037.26031366891,1.0,1.0,0
p86,8071.282732743802,7297.317866938179,1.0,1.0,0
p87,5362.280914547007,9731.157639793706,1.0,1.0,0
p164,3785.343772083535,5520.40631273227,1.0,1.0,0
p309,8294.04664252995,6185.1975236424605,1.0,1.0,0
3,8617.069003107772,5773.52145256762,1.0,1.0,0
p84,7045.718362149235,458.24383655662217,1.0,1.0,0
p250,2278.9827565154687,2893.8796360210717,1.0,1.0,0
p218,797.919769236275,2327.908863610302,1.0,1.0,0
p288,1010.0142940972911,2779.736031100921,1.0,1.0,0
sb85,6356.844442644002,3648.3217897008426,1.0,1.0,0
p81,3701.8096711688263,2095.070307714877,1.0,1.0,0
sb74,2669.7782204911337,9366.54587712494,1.0,1.0,0
p304,6480.353852465935,6091.310056669882,1.0,1.0,0
p307,1711.3864819809698,7291.267979503492,1.0,1.0,0
sb22,1634.024937619284,3794.554417576478,1.0,1.0,0
p177,9895.233506365952,6399.997598540928,1.0,1.0,0
p42,5569.497437746462,6846.142509898746,1.0,1.0,0
p18,8428.519201898096,7759.999115462449,1.0,1.0,0
p78,2290.480719641044,321.0024390403776,1.0,1.0,0
p90,3154.530480590819,2677.4087597570274,1.0,1.0,0
p156,2109.8284358632645,9429.097143350544,1.0,1.0,0
p192,8763.676264726688,3146.778807984779,1.0,1.0,0
p224,6554.3866529488005,3956.3190106066427,1.0,1.0,0
p298,9145.475897405435,4588.518525873988,1.0,1.0,0
p246,2648.8016649805245,2466.2750769398344,1.0,1.0,0
sb32,5613.681341631508,2627.4160852293526,1.0,1.0,0
p40,5845.859902235406,8978.22883602477,1.0,1.0,0
p195,3994.0050514039726,2193.2075915728333,1.0,1.0,0
sb45,9975.376064951102,5095.262936764645,1.0,1.0,0
1873,909.094121737939,471.1637542473457,1.0,1.0,0
sb61,1096.4913035065915,6274.4604170309,1.0,1.0,0
p28,7920.793643629641,4221.59966799684,1.0,1.0,0
NumNets,635.2770615195714,3816.1928650653676,1.0,1.0,0
p131,9961.213802400967,5291.143450991371,1.0,1.0,0
p329,9710.78377613618,8607.797022344981,1.0,1.0,0
p198,114.81021942819636,7207.218193601946,1.0,1.0,0
p317,6817.103690265748,5369.703304087951,1.0,1.0,0
p175,2668.2518995254277,6409.617985798081,1.0,1.0,0
p73,1115.5217359587643,4347.65250669105,1.0,1.0,0
p227,4537.237063292065,9538.1592752108,1.0,1.0,0
p146,8758.52940378194,2633.890507510908,1.0,1.0,0
p259,5005.8611305029835,1786.5188053013137,1.0,1.0,0
p152,9126.278393448205,8705.18569836767,1.0,1.0,0
p161,2984.447914486329,6389.494948660052,1.0,1.0,0
p11,6089.702114381723,1528.3926854963481,1.0,1.0,0
