name,x,y,width,height,is_fixed
p1,3.53702286603717,6.568414672885715,1.0,1.0,0
p65,0.0,0.0,1.0,1.0,0
sb10,0.0,0.0,1.0,1.0,0
p140,0.039876807899776476,2.134884467422086,1.0,1.0,0
p155,3.7174022447227335,3.9431541278969195,1.0,1.0,0
sb31,0.0,0.0,1.0,1.0,0
p156,0.5136188468351824,3.815660772629709,1.0,1.0,0
2,4.27145450565691,36.465169707976244,1.0,1.0,0
p13,5.036572269091063,3.8136905501470655,1.0,1.0,0
p36,0.0,37.842284562674784,1.0,1.0,0
p208,0.0,21.281621188913796,1.0,1.0,0
sb30,0.0,0.0,1.0,1.0,0
p48,0.08149634945879036,5.023600501793432,1.0,1.0,0
sb9,0.0,0.0,1.0,1.0,0
p69,0.0,0.0,1.0,1.0,0
p104,0.0,0.0,1.0,1.0,0
p209,0.022688537679917506,0.9821491709534526,1.0,1.0,0
p74,1.113795109219813,2.8497394952638357,1.0,1.0,0
p150,0.0,4.315256366754821,1.0,1.0,0
p181,2.483726284469262e-07,2.3434163078479187,1.0,1.0,0
sb42,0.0,0.0,1.0,1.0,0
p157,0.0,0.0,1.0,1.0,0
sb36,0.0,0.0,1.0,1.0,0
4,0.0,0.0,1.0,1.0,0
p47,0.00750107719527468,0.20423926404399034,1.0,1.0,0
NumNets,0.0,11.644548164596188,1.0,1.0,0
Huaizhi,0.0,0.0,1.0,1.0,0
p39,0.0,0.0,1.0,1.0,0
p50,0.3826809083969757,0.6233033121702221,1.0,1.0,0
sb28,0.0,0.0,1.0,1.0,0
p14,0.5564510285133393,8.52895363590694,1.0,1.0,0
p52,0.0017685050679222352,0.7455915329327677,1.0,1.0,0
p54,0.0,0.0,1.0,1.0,0
p114,0.33808866567083334,0.5938672006036443,1.0,1.0,0
p165,0.0,0.0,1.0,1.0,0
p172,0.0,0.0,1.0,1.0,0
p203,0.0,0.0,1.0,1.0,0
p60,0.0,0.0008090695771251863,1.0,1.0,0
p107,4.015983263851356,2.110333849192161,1.0,1.0,0
p7,0.0,0.6527709232746552,1.0,1.0,0
sb0,0.0,0.0,1.0,1.0,0
p68,0.0,0.0,1.0,1.0,0
p44,0.0,0.0,1.0,1.0,0
sb24,1.3178760253558714,0.5533541492985956,1.0,1.0,0
p120,0.008182179256899064,8.861544039676623,1.0,1.0,0
sb41,0.0,0.0,1.0,1.0,0
sb6,0.02983484257737369,0.02606154651860667,1.0,1.0,0
p102,8.601994238528974,2.5655609246994118,1.0,1.0,0
p27,0.0,0.0,1.0,1.0,0
p169,0.0,0.0,1.0,1.0,0
p45,0.0,0.0,1.0,1.0,0
Wu,0.0,36.80688397414531,1.0,1.0,0
sb47,0.0,0.0,1.0,1.0,0
p16,0.0,23.088898441846656,1.0,1.0,0
p189,2.974122953402912,4.530099013907855,1.0,1.0,0
p83,0.7449591674721224,6.014437715570758,1.0,1.0,0
p137,7.022450964899916,2.470238955516363,1.0,1.0,0
p49,4.031224393299566,60.27068260470744,1.0,1.0,0
p139,0.0,0.48193698981129907,1.0,1.0,0
Platform,2.71274409805209,2.2843623561169752,1.0,1.0,0
p6,0.004653063212412317,6.066451487405572,1.0,1.0,0
p129,0.0,0.0,1.0,1.0,0
sparc,6.192033451520594,0.26576795029540085,1.0,1.0,0
sb40,0.020107676897587138,0.8247773383316926,1.0,1.0,0
p18,0.0016044066467890744,0.3691625338899616,1.0,1.0,0
p108,0.0,0.0,1.0,1.0,0
p86,0.2673349417376737,1.4082721844675135,1.0,1.0,0
p26,3.104733659143883e-05,1.8807068046834963,1.0,1.0,0
p124,0.0,0.0,1.0,1.0,0
sb17,0.07262512604213167,2.470476004244875,1.0,1.0,0
p119,0.0005199212326696495,10.37201024196389,1.0,1.0,0
p188,3.7917056464343086,11.575930453563405,1.0,1.0,0
p184,0.0,0.0,1.0,1.0,0
p185,0.0,0.0,1.0,1.0,0
p133,0.0,0.0,1.0,1.0,0
p194,0.0,0.0,1.0,1.0,0
p72,0.1972944312458282,10.969146504666593,1.0,1.0,0
NetDegree,42.50694223045759,142.69434432609685,1.0,1.0,0
p127,0.11799297090354742,23.470436406115343,1.0,1.0,0
sb44,0.0,0.0,1.0,1.0,0
SUNW,0.0,0.0,1.0,1.0,0
p186,0.4658515511890103,6.264429468419313,1.0,1.0,0
p67,0.0,0.0,1.0,1.0,0
p78,0.0,0.0,1.0,1.0,0
p125,0.0,0.0,1.0,1.0,0
p130,0.07177312561433327,4.311842779121312,1.0,1.0,0
sb32,1.9243302146302983,1.257039874256943,1.0,1.0,0
p183,0.009770068051658568,0.7105716345023492,1.0,1.0,0
p82,4.980395776034938,1.2039722777884543,1.0,1.0,0
sb49,0.0,0.0,1.0,1.0,0
p173,0.2337508236050022,4.619061322290629,1.0,1.0,0
p132,2.810298008207262,4.550072084257639,1.0,1.0,0
B,0.0,146.43162085552115,1.0,1.0,0
p28,4.278696401048836e-05,3.4999971058739234,1.0,1.0,0
p62,0.0,0.0,1.0,1.0,0
p204,0.0,0.0,1.0,1.0,0
p90,0.0,0.0,1.0,1.0,0
SunOS,15.067650304043335,54.7678592219834,1.0,1.0,0
p98,0.37701148826019465,1.7539763895512257,1.0,1.0,0
p106,36.988010809907216,2.705969858276445,1.0,1.0,0
p77,0.0,0.0,1.0,1.0,0
p5,0.0,0.0,1.0,1.0,0
1050,0.012402827273751657,3.875190671079482,1.0,1.0,0
sb34,0.0,0.0,1.0,1.0,0
sb20,0.0,0.5249201843759482,1.0,1.0,0
p63,0.0,0.0,1.0,1.0,0
p70,4.4624253580250675e-05,0.320779178963951,1.0,1.0,0
p30,1.1575009090963764,3.6671711062683325,1.0,1.0,0
p141,0.0,0.0,1.0,1.0,0
p206,0.0,0.0,1.0,1.0,0
p145,9.587455474264084,0.5246258964782127,1.0,1.0,0
sb13,0.0,0.0,1.0,1.0,0
p110,0.0,0.0,1.0,1.0,0
sb7,0.11916959030287924,0.31473124777791306,1.0,1.0,0
p146,6.542820687274278,4.133914244080525,1.0,1.0,0
p197,0.0,0.5187131451351696,1.0,1.0,0
p159,0.46973833892888617,2.776859950151503,1.0,1.0,0
p29,4.602535850342222,1.7407328525442776,1.0,1.0,0
p198,1.5112175140602575,33.75823189508177,1.0,1.0,0
p53,0.3473100488128656,0.19088446430330708,1.0,1.0,0
p168,5.063706907293221,15.734666786150154,1.0,1.0,0
p11,0.0,0.0,1.0,1.0,0
p162,1.1545416225953953,1.0070429809478623,1.0,1.0,0
p15,0.0,7.376464422044283,1.0,1.0,0
p100,0.0,10.594103485156246,1.0,1.0,0
p2,0.12630912795166926,25.183867664788057,1.0,1.0,0
p153,0.0,0.0,1.0,1.0,0
sb3,1.553270311078158e-05,0.018493161379157026,1.0,1.0,0
p174,0.0,0.0,1.0,1.0,0
p135,0.0,0.0,1.0,1.0,0
p126,0.0,2.480432953903662,1.0,1.0,0
p118,0.6632714990121628,0.6777894916452234,1.0,1.0,0
p109,0.0,0.0,1.0,1.0,0
p99,0.28289094915219004,7.397057707630107,1.0,1.0,0
sb2,0.0,0.0,1.0,1.0,0
p66,5.396553774297414e-05,0.00022201124099379836,1.0,1.0,0
p170,0.0,0.0,1.0,1.0,0
sb14,0.0,0.0,1.0,1.0,0
p136,0.0,0.0,1.0,1.0,0
p20,0.0,0.3651544340341003,1.0,1.0,0
3,0.0,0.7141990185271886,1.0,1.0,0
sb12,0.9992121544812423,2.1523810628907984,1.0,1.0,0
p101,0.00016632158758102313,6.127329431312486,1.0,1.0,0
p175,0.04452280401280064,0.03761868629903445,1.0,1.0,0
p163,0.0,32.38265419311776,1.0,1.0,0
nets,0.114053329171597,6.151303737536371,1.0,1.0,0
p80,0.12142735327077775,0.8714579679673929,1.0,1.0,0
p192,0.0,0.0,1.0,1.0,0
p95,0.0,0.0,1.0,1.0,0
p58,0.0,0.0,1.0,1.0,0
p35,0.0,0.0,1.0,1.0,0
p116,0.0,0.0,1.0,1.0,0
p152,0.0,0.0,1.0,1.0,0
p75,0.0,0.0,1.0,1.0,0
p56,0.09995349507115298,0.027424852379102912,1.0,1.0,0
p85,0.0,0.0,1.0,1.0,0
p117,0.0,0.0,1.0,1.0,0
p32,0.0,1.084064849515166,1.0,1.0,0
sb8,0.0,0.0,1.0,1.0,0
p12,0.018964577771311088,0.14268709789991932,1.0,1.0,0
p9,0.023175150759730652,0.0009618605366312123,1.0,1.0,0
p17,0.3651456850185474,7.203051806750273,1.0,1.0,0
p134,0.0,0.0,1.0,1.0,0
sb16,0.0,0.0,1.0,1.0,0
485,0.0,0.0,1.0,1.0,0
p76,1.4173978517085617,0.4646231233844024,1.0,1.0,0
p115,0.5325989264831693,1.0874667723580174,1.0,1.0,0
sb18,0.0,0.0,1.0,1.0,0
sb35,0.31047344016058415,0.37489115433109604,1.0,1.0,0
p151,0.02967739978579795,0.7088380743057158,1.0,1.0,0
p176,0.3198857238655877,0.09935939600956314,1.0,1.0,0
sb22,0.0,0.0,1.0,1.0,0
p88,0.0,0.0,1.0,1.0,0
p144,0.0,0.0,1.0,1.0,0
sb5,0.0006028019438091534,0.0005566133641695069,1.0,1.0,0
sb15,3.3582657891293178e-06,0.6391973677813497,1.0,1.0,0
p59,0.0,0.0,1.0,1.0,0
p161,0.40108886076025,13.140238503779173,1.0,1.0,0
p46,0.01897725286764302,0.001216795432162496,1.0,1.0,0
p51,0.0,8.726362371052852,1.0,1.0,0
p205,0.0,0.0,1.0,1.0,0
p91,1.1372844784318312,0.8076409107027916,1.0,1.0,0
p178,0.0,0.0,1.0,1.0,0
p4,8.954106018817756,81.42500756382653,1.0,1.0,0
p160,2.7869967883625466,1.7642432288600383,1.0,1.0,0
sb27,0.0,0.0,1.0,1.0,0
p128,0.0,0.0,1.0,1.0,0
User,6.268715426065492,23.579821045713,1.0,1.0,0
p187,1.5144174761659293,1.319828058767058,1.0,1.0,0
2000,0.0,0.0,1.0,1.0,0
p179,3.7178588222234876,6.683100815360515,1.0,1.0,0
p195,0.02779544374240723,2.13765797186119,1.0,1.0,0
sb19,0.0,0.0,1.0,1.0,0
sb38,0.0,0.0,1.0,1.0,0
p149,0.1348367232964962,11.213885918670394,1.0,1.0,0
p201,0.0,1.61786091839525,1.0,1.0,0
sb45,0.0,0.0,1.0,1.0,0
p57,0.0,2.3769803278156822,1.0,1.0,0
p148,0.0,0.0,1.0,1.0,0
p123,0.4784647363292211,1.3574339933359785,1.0,1.0,0
p191,0.003658242413468418,0.05592269969166911,1.0,1.0,0
p200,1.973316360476262e-07,0.0006335789573591136,1.0,1.0,0
p131,0.0,2.1777367475442113,1.0,1.0,0
sb21,0.09607621166649484,0.14799585738331367,1.0,1.0,0
p166,0.18112071416478412,0.07348487997493759,1.0,1.0,0
p61,6.499426569018715,23.594641031016412,1.0,1.0,0
p93,5.108501536262319,7.092716324616276,1.0,1.0,0
p196,0.012177514194700343,0.5815497703787263,1.0,1.0,0
Created,0.6290816921267355,10.45779165630461,1.0,1.0,0
p113,0.0,50.01959133936262,1.0,1.0,0
sb39,0.0,0.0,1.0,1.0,0
p37,0.0,0.0,1.0,1.0,0
p34,19.361798149463098,12.617011683772471,1.0,1.0,0
p81,0.0013722437824099907,2.032243097520951,1.0,1.0,0
p202,18.459360714742047,12.523191286552992,1.0,1.0,0
p24,2.0370192622964347,0.01619221822796046,1.0,1.0,0
p207,0.0,0.0,1.0,1.0,0
p89,0.0,0.0,1.0,1.0,0
p42,0.0,3.908562754235582,1.0,1.0,0
sb25,0.07740389182709494,8.196251790464143e-05,1.0,1.0,0
p43,0.0,0.0,1.0,1.0,0
p33,1.8593840983520775,18.15575212230676,1.0,1.0,0
p21,1.4346633363114158,27.487831010042786,1.0,1.0,0
