timestamp,benchmark,algo,n_evals,seed,alpha,beta,gamma,grid,overlap_grid,best_cost,hpwl,max_congestion,avg_congestion,overflow_ratio,overlap_ratio,exec_time_sec
2025-11-15 19:17:07,bigblue1,SA,100,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.046834028069631335,113030457.58097847,4226558256244.968,1032056478.8018637,0.000244140625,0.3904182537656585,1926.7016685009003
2025-11-15 20:16:26,bigblue1,SA,100,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.046834028069631335,113030457.58097847,4226558256244.968,1032056478.8018637,0.000244140625,0.3904182537656585,662.0756602287292
2025-11-15 20:24:29,bigblue1,SA,100,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.046834028069631335,113030457.58097847,4226558256244.968,1032056478.8018637,0.000244140625,0.3904182537656585,597.7387838363647
2025-11-15 20:36:11,bigblue1,SA,100,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.046834028069631335,113030457.58097847,4226558256244.968,1032056478.8018637,0.000244140625,0.3904182537656585,640.8931956291199
2025-11-15 20:47:18,bigblue1,SHO,100,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.04681560550710055,112752614.71720748,4181574088874.8374,1020892111.551753,0.000244140625,0.39042556413205837,614.6343538761139
2025-11-15 20:55:12,bigblue1,WOA,100,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.04638707012271939,106270650.04322143,866876903661.9559,211639869.08880314,0.000244140625,0.39060866960080837,459.31802248954773
2025-11-15 21:28:03,bigblue1,SA,100,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.046834028069631335,113030457.58097847,4226558256244.968,1032056478.8018637,0.000244140625,0.3904182537656585,429.82859086990356
2025-11-15 21:39:33,bigblue1,SHO,100,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.04681560550710055,112752614.71720748,4181574088874.8374,1020892111.551753,0.000244140625,0.39042556413205837,655.8657610416412
2025-11-15 21:47:26,bigblue1,WOA,100,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.04638707012271939,106270650.04322143,866876903661.9559,211639869.08880314,0.000244140625,0.39060866960080837,458.21815252304077
2025-11-15 22:20:06,bigblue1,SA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.046834035847758575,113030570.41079842,4226577804422.699,1032064664.0744828,0.000244140625,0.3904182537656585,507.3410756587982
2025-11-15 22:32:07,bigblue1,SHO,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.04681560550710055,112752614.71720748,4181574088874.8374,1020892111.551753,0.000244140625,0.39042556413205837,655.9113166332245
2025-11-15 22:41:37,bigblue1,WOA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.046387080890913764,106270806.24707298,866832989813.783,211629147.93446603,0.000244140625,0.39060866960080837,555.9126446247101
2025-11-16 15:07:33,bigblue1,WOA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.23511906711291572,3321691905.207018,5683.310614214955,1.6001154552156567,0.005859375,0.061319976112345055,51257.79324436188
2025-11-16 15:20:35,bigblue1,WOA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.23511906711291572,3321691905.207018,5683.310614214955,1.6001154552156567,0.005859375,0.061319976112345055,6819.143802881241
2025-11-16 16:25:42,bigblue1,SA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.046834035847758575,113030570.41079842,4226577804422.699,1032064664.0744828,0.000244140625,0.3904182537656585,698.11115026474
2025-11-16 16:46:09,bigblue1,SHO,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.04681560550710055,112752614.71720748,4181574088874.8374,1020892111.551753,0.000244140625,0.39042556413205837,1142.3694241046906
2025-11-16 16:54:52,bigblue1,SA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.19826498262554432,99860928.16711204,1180167114.039223,288126.7469313438,0.000244140625,0.9569032260326549,426.89671897888184
2025-11-16 17:23:46,bigblue1,SA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.19826498262554432,99860928.16711204,1180167114.039223,288126.7469313438,0.000244140625,0.9569032260326549,431.7383277416229
2025-11-16 18:26:45,bigblue1,SHO,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.1982666498050345,99859748.0,2.0062085335754993,0.010595158594332231,0.030517578125,0.9569044674186773,1689.40860080719
2025-11-16 18:43:11,bigblue1,WOA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.23511906711291572,3321691905.207018,5683.310614214955,1.6001154552156567,0.005859375,0.061319976112345055,6957.196891546249
2025-11-16 18:46:31,bigblue1,SA,120,42,0.5,0.001,0.1,"(64, 64)","(128, 128)",0.19826498262554432,99860928.16711204,1180167114.039223,288126.7469313438,0.000244140625,0.9569032260326549,423.7435793876648
